Berichtsjahr,Berichtsmonat,Segment,Marke,Modellreihe,Anzahl,ZS Anzahl,Diesel,ZS Diesel,Hybrid,ZS Hybrid,Benzin-Hybrid,ZS Benzin-Hybrid,Diesel-Hybrid,ZS Diesel-Hybrid,Hybrid (ohne Plug-in),ZS Hybrid (ohne Plug-in),Benzin-Hybrid (ohne Plug-in),ZS Benzin-Hybrid (ohne Plug-in),Diesel-Hybrid (ohne Plug-in),ZS Diesel-Hybrid (ohne Plug-in),Plug-in-Hybrid,ZS Plug-in-Hybrid,Benzin-Plug-in-Hybrid,ZS Benzin-Plug-in-Hybrid,Diesel-Plug-in-Hybrid,ZS Diesel-Plug-in-Hybrid,Elektro (BEV),ZS Elektro (BEV),Allradantrieb,ZS Allrad,offener Aufbau,ZS offener Aufbau,gewerblich,ZS gewerblich,ObjectId,Monat Sortierung
2025,März,SUVs,BMW,X2,661,,33,,313,,143,,170,,313,,143,,170,,,-,,-,,-,209,,357,,,-,462,,20426,3
2025,Mai,OBERKLASSE,PORSCHE,PANAMERA,165,,,-,110,,110,,,-,,-,,-,,-,110,,110,,,-,,-,163,,,-,134,,20427,5
2025,März,SUVs,BMW,XM,63,,,-,63,,63,,,-,,-,,-,,-,63,,63,,,-,,-,63,,,-,57,,20428,3
2025,Mai,OBERKLASSE,PORSCHE,TAYCAN,266,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,266,,184,,,-,225,,20429,5
2025,März,SUVs,BYD,ATTO 2,20,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,20,,,-,,-,20,,20430,3
2025,Mai,OBERKLASSE,ROLLS ROYCE,SPECTRE,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,2,,2,,,-,2,,20431,5
2025,März,SUVs,BYD,ATTO 3,182,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,182,,,-,,-,173,,20432,3
2025,Mai,OBERKLASSE,TESLA,MODEL S,6,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,6,,6,,,-,1,,20433,5
2025,März,SUVs,BYD,SEAL U,262,,,-,190,,190,,,-,,-,,-,,-,190,,190,,,-,72,,50,,,-,202,,20434,3
2025,Mai,SUVs,ALFA ROMEO,JUNIOR,381,,,-,364,,364,,,-,364,,364,,,-,,-,,-,,-,17,,,-,,-,159,,20435,5
2025,März,SUVs,BYD,SEALION 7,59,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,59,,59,,,-,50,,20436,3
2025,Mai,SUVs,ALFA ROMEO,STELVIO,169,,48,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,169,,,-,105,,20437,5
2025,März,SUVs,BYD,TANG,9,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,9,,9,,,-,8,,20438,3
2025,Mai,SUVs,ALFA ROMEO,TONALE,74,,9,,65,,65,,,-,62,,62,,,-,3,,3,,,-,,-,3,,,-,22,,20439,5
2025,März,SUVs,DACIA,BIGSTER,205,,,-,205,,205,,,-,205,,205,,,-,,-,,-,,-,,-,16,,,-,189,,20440,3
2025,Mai,SUVs,AUDI,Q2,931,,118,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,126,,,-,636,,20441,5
2025,März,SUVs,DACIA,DUSTER,1898,,2,,1654,,1654,,,-,1654,,1654,,,-,,-,,-,,-,,-,477,,,-,625,,20442,3
2025,Mai,SUVs,AUDI,Q4,838,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,838,,350,,,-,768,,20443,5
2025,März,SUVs,DS,7,271,,252,,19,,19,,,-,,-,,-,,-,19,,19,,,-,,-,13,,,-,231,,20444,3
2025,Mai,SUVs,AUDI,Q6,1542,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,1542,,751,,,-,1434,,20445,5
2025,März,SUVs,FERRARI,PUROSANGUE,41,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,41,,,-,29,,20446,3
2025,Mai,SUVs,BMW,IX,306,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,306,,306,,,-,250,,20447,5
2025,März,SUVs,FIAT,600,529,,,-,482,,482,,,-,482,,482,,,-,,-,,-,,-,47,,,-,,-,169,,20448,3
2025,Mai,SUVs,BMW,X1,3872,,181,,2080,,1521,,559,,1416,,857,,559,,664,,664,,,-,1285,,1919,,,-,2264,,20449,5
2025,März,SUVs,FORD,CAPRI,156,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,156,,53,,,-,88,,20450,3
2025,Mai,SUVs,BMW,X2,881,,27,,413,,159,,254,,411,,157,,254,,2,,2,,,-,318,,501,,,-,632,,20451,5
2025,März,SUVs,FORD,ECOSPORT,38,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,38,,,-,,-,38,,20452,3
2025,März,SUVs,FORD,EXPLORER,776,,,-,1,,1,,,-,,-,,-,,-,1,,1,,,-,775,,125,,,-,371,,20453,3
2025,März,SUVs,FORD,KUGA,1499,,1,,1350,,1350,,,-,476,,476,,,-,874,,874,,,-,,-,183,,,-,764,,20454,3
2025,Mai,SUVs,BMW,XM,52,,,-,52,,52,,,-,,-,,-,,-,52,,52,,,-,,-,52,,,-,45,,20455,5
2025,März,SUVs,FORD,MUSTANG MACH-E,40,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,40,,15,,,-,32,,20456,3
2025,Mai,SUVs,BYD,ATTO 2,356,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,356,,,-,,-,352,,20457,5
2025,März,SUVs,GWM,WEY 03,21,,,-,21,,21,,,-,,-,,-,,-,21,,21,,,-,,-,,-,,-,15,,20458,3
2025,Mai,SUVs,BYD,ATTO 3,222,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,222,,,-,,-,215,,20459,5
2025,März,SUVs,GWM,WEY 05,39,,,-,39,,39,,,-,,-,,-,,-,39,,39,,,-,,-,39,,,-,26,,20460,3
2025,Mai,SUVs,BYD,SEAL U,840,,,-,634,,634,,,-,,-,,-,,-,634,,634,,,-,206,,235,,,-,780,,20461,5
2025,März,SUVs,HONDA,CR-V,254,,,-,253,,253,,,-,201,,201,,,-,52,,52,,,-,,-,127,,,-,100,,20462,3
2025,Januar,SUVs,CADILLAC,XT4,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,2,,,-,,-,20463,1
2025,Mai,SUVs,BYD,SEALION 7,182,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,182,,106,,,-,154,,20464,5
2025,Januar,SUVs,DACIA,DUSTER,1319,,,-,1117,,1117,,,-,1117,,1117,,,-,,-,,-,,-,,-,310,,,-,352,,20465,1
2025,Mai,SUVs,BYD,TANG,9,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,9,,9,,,-,9,,20466,5
2025,Januar,SUVs,DS,7,120,,103,,17,,17,,,-,,-,,-,,-,17,,17,,,-,,-,15,,,-,99,,20467,1
2025,Mai,SUVs,DACIA,BIGSTER,836,,,-,836,,836,,,-,836,,836,,,-,,-,,-,,-,,-,108,,,-,152,,20468,5
2025,Januar,SUVs,FERRARI,PUROSANGUE,32,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,32,,,-,14,,20469,1
2025,Januar,SUVs,FIAT,600,566,,,-,505,,505,,,-,505,,505,,,-,,-,,-,,-,61,,,-,,-,188,,20470,1
2025,Januar,SUVs,FISKER,OCEAN,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,1,,1,,,-,1,,20471,1
2025,Januar,SUVs,FORD,CAPRI,64,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,64,,19,,,-,51,,20472,1
2025,Januar,SUVs,FORD,ECOSPORT,4,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,4,,,-,,-,4,,20473,1
2025,Mai,SUVs,DACIA,DUSTER,1134,,,-,1020,,1020,,,-,1020,,1020,,,-,,-,,-,,-,,-,271,,,-,349,,20474,5
2025,Januar,SUVs,FORD,EXPLORER,295,,,-,10,,10,,,-,,-,,-,,-,10,,10,,,-,284,,48,,,-,110,,20475,1
2025,Mai,SUVs,DS,7,114,,92,,22,,22,,,-,,-,,-,,-,22,,22,,,-,,-,19,,,-,97,,20476,5
